Player_ID,First_Name,Last_Name,Current_Team_ID,Current_Team_Full_Name,Current_Team_Name,Position,Current_Team_Abbr,Current_Team_City,Current_Team_Conf,Current_Team_Div
14,Ike,Anigbogu,12,Indiana Pacers,Pacers,C,IND,Indiana,East,Central
25,Ron,Baker,20,New York Knicks,Knicks,G,NYK,New York,East,Atlantic
47,Jabari,Bird,2,Boston Celtics,Celtics,G,BOS,Boston,East,Atlantic
67,MarShon,Brooks,15,Memphis Grizzlies,Grizzlies,G,MEM,Memphis,West,Southwest
71,Lorenzo,Brown,28,Toronto Raptors,Raptors,G,TOR,Toronto,East,Atlantic
90,Omri,Casspi,15,Memphis Grizzlies,Grizzlies,F,MEM,Memphis,West,Southwest
1,Alex,Abrines,21,Oklahoma City Thunder,Thunder,G,OKC,Oklahoma City,West,Northwest
119,Tyler,Davis,21,Oklahoma City Thunder,Thunder,C,OKC,Oklahoma City,West,Northwest
149,Keenan,Evans,9,Detroit Pistons,Pistons,G,DET,Detroit,East,Central
179,Marcin,Gortat,13,LA Clippers,Clippers,C,LAC,LA,West,Pacific
1593,Andrew,Bogut,10,Golden State Warriors,Warriors,F,GSW,Golden State,West,Pacific
241,Amir,Johnson,23,Philadelphia 76ers,76ers,C-F,PHI,Philadelphia,East,Atlantic
392,Malachi,Richardson,29,Utah Jazz,Jazz,G,UTA,Utah,West,Northwest
281,Zach,Lofton,9,Detroit Pistons,Pistons,G,DET,Detroit,East,Central
263,Kosta,Koufos,26,Sacramento Kings,Kings,C,SAC,Sacramento,West,Pacific
382,Billy,Preston,6,Cleveland Cavaliers,Cavaliers,F,CLE,Cleveland,East,Central
384,Zhou,Qi,11,Houston Rockets,Rockets,F-C,HOU,Houston,West,Southwest
388,Zach,Randolph,26,Sacramento Kings,Kings,F,SAC,Sacramento,West,Pacific
430,DJ,Stephens,15,Memphis Grizzlies,Grizzlies,G-F,MEM,Memphis,West,Southwest
437,Milos,Teodosic,13,LA Clippers,Clippers,G,LAC,LA,West,Pacific
448,Gary,Trent Jr.,25,Portland Trail Blazers,Trail Blazers,G,POR,Portland,West,Northwest
494,Michael,Smith,2,Boston Celtics,Celtics,,BOS,Boston,East,Atlantic
495,John,Morton,6,Cleveland Cavaliers,Cavaliers,,CLE,Cleveland,East,Central
496,Howard,Wright,1,Atlanta Hawks,Hawks,,ATL,Atlanta,East,Southeast
497,Michael,Ansley,22,Orlando Magic,Magic,,ORL,Orlando,East,Southeast
498,John,Salley,9,Detroit Pistons,Pistons,,DET,Detroit,East,Central
499,Dan,Schayes,17,Milwaukee Bucks,Bucks,,MIL,Milwaukee,East,Central
500,Mark,Eaton,29,Utah Jazz,Jazz,,UTA,Utah,West,Northwest
501,Kevin,Johnson,24,Phoenix Suns,Suns,,PHX,Phoenix,West,Pacific
502,Danny,Ainge,25,Portland Trail Blazers,Trail Blazers,,POR,Portland,West,Northwest
503,Kenny,Smith,11,Houston Rockets,Rockets,,HOU,Houston,West,Southwest
504,Randy,Breuer,18,Minnesota Timberwolves,Timberwolves,,MIN,Minnesota,West,Northwest
505,Herb,Williams,7,Dallas Mavericks,Mavericks,,DAL,Dallas,West,Southwest
506,Joe,Wolf,8,Denver Nuggets,Nuggets,,DEN,Denver,West,Northwest
507,Steve,Johnson,10,Golden State Warriors,Warriors,,GSW,Golden State,West,Pacific
508,Glen,Rice,16,Miami Heat,Heat,,MIA,Miami,East,Southeast
509,Greg,Foster,30,Washington Wizards,Wizards,,WAS,Washington,East,Southeast
510,Larry,Nance,6,Cleveland Cavaliers,Cavaliers,,CLE,Cleveland,East,Central
511,Duane,Ferrell,1,Atlanta Hawks,Hawks,,ATL,Atlanta,East,Southeast
512,Nick,Anderson,22,Orlando Magic,Magic,,ORL,Orlando,East,Southeast
513,Joe,Dumars,9,Detroit Pistons,Pistons,,DET,Detroit,East,Central
514,Jay,Humphries,17,Milwaukee Bucks,Bucks,,MIL,Milwaukee,East,Central
515,Darrell,Griffith,29,Utah Jazz,Jazz,,UTA,Utah,West,Northwest
516,Dan,Majerle,24,Phoenix Suns,Suns,,PHX,Phoenix,West,Pacific
517,Tom,Chambers,24,Phoenix Suns,Suns,,PHX,Phoenix,West,Pacific
518,Alaa,Abdelnaby,25,Portland Trail Blazers,Trail Blazers,,POR,Portland,West,Northwest
519,Adrian,Caldwell,11,Houston Rockets,Rockets,,HOU,Houston,West,Southwest
520,Vernon,Maxwell,11,Houston Rockets,Rockets,,HOU,Houston,West,Southwest
521,Doug,West,18,Minnesota Timberwolves,Timberwolves,,MIN,Minnesota,West,Northwest
522,Tony,Campbell,18,Minnesota Timberwolves,Timberwolves,,MIN,Minnesota,West,Northwest
523,Roy,Tarpley,7,Dallas Mavericks,Mavericks,,DAL,Dallas,West,Southwest
524,Anthony,Cook,8,Denver Nuggets,Nuggets,,DEN,Denver,West,Northwest
525,Todd,Lichti,8,Denver Nuggets,Nuggets,,DEN,Denver,West,Northwest
526,Tom,Tolbert,10,Golden State Warriors,Warriors,,GSW,Golden State,West,Pacific
527,Billy,Thompson,16,Miami Heat,Heat,,MIA,Miami,East,Southeast
528,Byron,Irvin,30,Washington Wizards,Wizards,,WAS,Washington,East,Southeast
529,Mark,Price,6,Cleveland Cavaliers,Cavaliers,,CLE,Cleveland,East,Central
530,Dominique,Wilkins,1,Atlanta Hawks,Hawks,,ATL,Atlanta,East,Southeast
531,Dennis,Scott,22,Orlando Magic,Magic,,ORL,Orlando,East,Southeast
532,Terry,Catledge,22,Orlando Magic,Magic,,ORL,Orlando,East,Southeast
533,Bill,Laimbeer,9,Detroit Pistons,Pistons,,DET,Detroit,East,Central
534,William,Bedford,9,Detroit Pistons,Pistons,,DET,Detroit,East,Central
535,Ricky,Pierce,17,Milwaukee Bucks,Bucks,,MIL,Milwaukee,East,Central
536,Blue,Edwards,29,Utah Jazz,Jazz,,UTA,Utah,West,Northwest
537,Walter,Palmer,29,Utah Jazz,Jazz,,UTA,Utah,West,Northwest
538,Mark,West,24,Phoenix Suns,Suns,,PHX,Phoenix,West,Pacific
539,Clifford,Robinson,25,Portland Trail Blazers,Trail Blazers,,POR,Portland,West,Northwest
540,Hakeem,Olajuwon,11,Houston Rockets,Rockets,,HOU,Houston,West,Southwest
541,Richard,Coffey,18,Minnesota Timberwolves,Timberwolves,,MIN,Minnesota,West,Northwest
542,James,Donaldson,7,Dallas Mavericks,Mavericks,,DAL,Dallas,West,Southwest
543,Jerome,Lane,8,Denver Nuggets,Nuggets,,DEN,Denver,West,Northwest
544,Sarunas,Marciulionis,10,Golden State Warriors,Warriors,,GSW,Golden State,West,Pacific
545,Grant,Long,16,Miami Heat,Heat,,MIA,Miami,East,Southeast
546,Willie,Burton,16,Miami Heat,Heat,,MIA,Miami,East,Southeast
547,Mark,Alarie,30,Washington Wizards,Wizards,,WAS,Washington,East,Southeast
548,Winston,Bennett,6,Cleveland Cavaliers,Cavaliers,,CLE,Cleveland,East,Central
549,Doc,Rivers,1,Atlanta Hawks,Hawks,,ATL,Atlanta,East,Southeast
550,Tim,McCormick,1,Atlanta Hawks,Hawks,,ATL,Atlanta,East,Southeast
551,Scott,Skiles,22,Orlando Magic,Magic,,ORL,Orlando,East,Southeast
552,Dennis,Rodman,9,Detroit Pistons,Pistons,,DET,Detroit,East,Central
553,Greg,Anderson,17,Milwaukee Bucks,Bucks,,MIL,Milwaukee,East,Central
554,Jeff,Malone,29,Utah Jazz,Jazz,,UTA,Utah,West,Northwest
555,Cedric,Ceballos,24,Phoenix Suns,Suns,,PHX,Phoenix,West,Pacific
556,Tim,Perry,24,Phoenix Suns,Suns,,PHX,Phoenix,West,Pacific
557,Buck,Williams,25,Portland Trail Blazers,Trail Blazers,,POR,Portland,West,Northwest
558,Dave,Jamerson,11,Houston Rockets,Rockets,,HOU,Houston,West,Southwest
559,Scott,Brooks,18,Minnesota Timberwolves,Timberwolves,,MIN,Minnesota,West,Northwest
560,Rolando,Blackman,7,Dallas Mavericks,Mavericks,,DAL,Dallas,West,Southwest
561,Avery,Johnson,8,Denver Nuggets,Nuggets,,DEN,Denver,West,Northwest
562,Rod,Higgins,10,Golden State Warriors,Warriors,,GSW,Golden State,West,Pacific
563,Jon,Sundvold,16,Miami Heat,Heat,,MIA,Miami,East,Southeast
564,A.J.,English,30,Washington Wizards,Wizards,,WAS,Washington,East,Southeast
565,John,Battle,1,Atlanta Hawks,Hawks,,ATL,Atlanta,East,Southeast
18170939,Georgios,Kalaitzakis,17,Milwaukee Bucks,Bucks,F,MIL,Milwaukee,East,Central
566,Sam,Vincent,22,Orlando Magic,Magic,,ORL,Orlando,East,Southeast
567,Isiah,Thomas,9,Detroit Pistons,Pistons,,DET,Detroit,East,Central
568,Brad,Lohaus,17,Milwaukee Bucks,Bucks,,MIL,Milwaukee,East,Central
569,Mike,Brown,29,Utah Jazz,Jazz,,UTA,Utah,West,Northwest
570,Kenny,Battle,24,Phoenix Suns,Suns,,PHX,Phoenix,West,Pacific
571,Danny,Young,25,Portland Trail Blazers,Trail Blazers,,POR,Portland,West,Northwest
572,Larry,Smith,11,Houston Rockets,Rockets,,HOU,Houston,West,Southwest
573,Pooh,Richardson,18,Minnesota Timberwolves,Timberwolves,,MIN,Minnesota,West,Northwest
574,Derek,Harper,7,Dallas Mavericks,Mavericks,,DAL,Dallas,West,Southwest
575,Michael,Adams,8,Denver Nuggets,Nuggets,,DEN,Denver,West,Northwest
576,Tim,Hardaway,10,Golden State Warriors,Warriors,,GSW,Golden State,West,Pacific
577,Bimbo,Coles,16,Miami Heat,Heat,,MIA,Miami,East,Southeast
578,Darrell,Walker,30,Washington Wizards,Wizards,,WAS,Washington,East,Southeast
579,Kevin,Willis,1,Atlanta Hawks,Hawks,,ATL,Atlanta,East,Southeast
580,Otis,Smith,22,Orlando Magic,Magic,,ORL,Orlando,East,Southeast
581,James,Edwards,9,Detroit Pistons,Pistons,,DET,Detroit,East,Central
582,Frank,Brickowski,17,Milwaukee Bucks,Bucks,,MIL,Milwaukee,East,Central
583,Karl,Malone,29,Utah Jazz,Jazz,,UTA,Utah,West,Northwest
584,Ian,Lockhart,24,Phoenix Suns,Suns,,PHX,Phoenix,West,Pacific
585,Kevin,Duckworth,25,Portland Trail Blazers,Trail Blazers,,POR,Portland,West,Northwest
586,Otis,Thorpe,11,Houston Rockets,Rockets,,HOU,Houston,West,Southwest
587,Gerald,Glass,18,Minnesota Timberwolves,Timberwolves,,MIN,Minnesota,West,Northwest
588,Alex,English,7,Dallas Mavericks,Mavericks,,DAL,Dallas,West,Southwest
589,T.R.,Dunn,8,Denver Nuggets,Nuggets,,DEN,Denver,West,Northwest
590,Alton,Lister,10,Golden State Warriors,Warriors,,GSW,Golden State,West,Pacific
